Title,Buy Box 🚚: Current,Amazon: Current,New: Current,New: Highest,"New, 3rd Party FBM 🚚: Current",eBay Used 🚚: Current,"Count of retrieved live offers: New, FBM",ASIN,Product Codes: EAN,Product Codes: UPC
"BIRKENSTOCK Women's Casual Sandals, Black, 4-4.5 M US",,,$169.95 ,$218.95 ,$169.95 ,,1,B000XW49NO,4.01387E+12,4013871203315
Birkenstock Men´s Arizona Black Synthetic Sandals 40 Schmal N 551253,$104.52 ,,$104.52 ,$213.56 ,$135.00 ,,3,B000XW6CN4,4.01387E+12,4013871215400
Birkenstock Unisex Clogs Super-Birki - White - W 6 / M 4,$159.89 ,,$159.89 ,$161.89 ,,,,B00UJQ9XE4,4.01387E+12,4013871267102
Birkenstock Unisex Clogs Super-Birki - White - Men 13-13.5,$93.90 ,,$69.90 ,$167.18 ,$93.90 ,,2,B000KCZ9CM,4.01387E+12,4013871267195
Birkenstock Unisex Clogs Super-Birki - Red - Woman 10-10.5 / Men 8-8.5,,,,$178.65 ,,,,B000KCXC9O,4.01387E+12,4013871267263
Birkenstock Unisex Clogs Super-Birki - Red - Men 11-11.5,,,,$99.99 ,,,,B00ULNKSLM,4.01387E+12,4013871267294
Birkenstock Unisex Clogs Super-Birki - Yellow - Woman 5-5.5,,,$164.70 ,$168.70 ,$164.70 ,,2,B000KCV7TG,4.01387E+12,4013871267331
Birkenstock Unisex Clogs Super-Birki - Green - Woman 4-4.5,,,$99.99 ,$154.99 ,$99.99 ,,2,B000KCV7WI,4.01387E+12,4013871267447
Birkenstock Unisex Clogs Super-Birki - Green - Woman 6-6.5 / Men 4-4.5,,,$99.95 ,$143.95 ,$83.90 ,,5,B000KCXCS0,4.01387E+12,4013871267461
Birkenstock Unisex Clogs Super-Birki - Brown - Men 11-11.5,,,$127.95 ,$168.70 ,$93.90 ,,3,B000KCXCOE,4.01387E+12,4013871267652
"Birkenstock Original Super-Birki Alpro-Foam Regular Width, Blue L4 35,0",,,$127.95 ,$262.89 ,$127.95 ,,1,B000MV44OA,4.01387E+12,4013871267683
Birkenstock Unisex Clogs Super-Birki - Blue - Woman 6-6.5 / Men 4-4.5,,,$136.52 ,$167.18 ,$135.47 ,,3,B00UJ945YY,4.01387E+12,4013871267706
"Birki Women's Clogs and Mules, Blue US 6.5 W 37 EU",$89.95 ,,$89.95 ,$110.40 ,$89.95 ,,1,B00RGN6VJI,4.01387E+12,4013871267706
Birkenstock Unisex Clogs Super-Birki Blue W8/M7 EU 39,$99.00 ,,$75.00 ,$152.95 ,$99.00 ,,3,B00R63APFO,4.01387E+12,4013871267720
Birkenstock Unisex Clogs Super-Birki - Blue - Woman 8-8.5 / Men 6-6.5,$93.90 ,,$69.90 ,$132.00 ,$93.90 ,,3,B00UHKCRW2,4.01387E+12,4013871267720
Birkenstock Clogs Profi-Birki Black 37(24cm),$94.90 ,,$94.90 ,$306.93 ,$131.95 ,,1,B000KCV750,4.01387E+12,4013871344964
"Birkenstock Professional Unisex Profi Birki Slip Resistant Work Shoe, Black, 41 M EU",$89.05 ,$89.05 ,$72.90 ,$128.95 ,$96.90 ,,1,B000KCXC12,4.01387E+12,4013871345008
Birkenstock Women´s Profi-Birki Blue Alpro-Foam Sandals 36 EU (L5 US) R 074071,,,$109.00 ,$183.85 ,$109.00 ,,1,B00OQ7JNO2,4.01387E+12,4013871345312
Profi-Birki Blue,,,$94.90 ,$147.53 ,$118.90 ,,1,B000KCT7BG,4.01387E+12,4013871345329
Birkenstock Women?s Profi-Birki Blue Alpro-Foam Sandals 38 W EU R 074071,,,$94.90 ,$157.26 ,$95.99 ,,2,B000MUZ28I,4.01387E+12,4013871345336
Birkenstock Men?s Profi-Birki Blue Alpro-Foam Sandals 40 EU (M7/L9 US) R 074071,,,$94.90 ,$136.93 ,$118.90 ,,1,B000KCT7CK,4.01387E+12,4013871345350
Birkenstock Professional Unisex Profi Birki Slip Resistant Work Blue,,,$94.90 ,$136.93 ,$118.90 ,,1,B000MUZ2A6,4.01387E+12,4013871345367
Birkenstock Men?s Profi-Birki Blue Alpro-Foam Sandals 43 W EU R 074071,,,,$99.90 ,,,,B0013VY1EQ,4.01387E+12,4013871345381
Birkenstock Men?s Profi-Birki Blue Alpro-Foam Sandals 45 EU (M12 US) R 074071,$69.90 ,,$69.90 ,$136.93 ,$118.90 ,,1,B000MUZ2DS,4.01387E+12,4013871345404
Birkenstock Gizeh Blue Womens Sandals Size 36 EU M,,,,$138.00 ,,,,B0013VHZ8U,4.01387E+12,4013871369196
Birkenstock Unisex Adults Gizeh Open Toe Summer T-Bar Birko Flor Sandals - Blue - W6/M4,$111.32 ,,$111.32 ,$236.95 ,$111.32 ,,2,B000MSVW48,4.01387E+12,4013871369202
"BIRKENSTOCK Unisex Flip Flops, Blue 143621, 7.5 US Women",$111.32 ,,$111.32 ,$138.00 ,,,2,B000MSWSSC,4.01387E+12,4013871369226
"BIRKENSTOCK Unisex's Flip Flops, Blue 143621, 41 EU",,,$106.95 ,$145.97 ,$106.95 ,,2,B0013VJQKA,4.01387E+12,4013871369240
"Birkenstock Unisex Open Back Slippers, Blue, 12.5 US Men",,,$148.98 ,$216.69 ,$182.78 ,,1,B003XM52UK,4.01387E+12,4013871369295
Birkenstock Unisex Clogs Super-Birki - Blue - Men 15-15.5,$93.90 ,,$69.90 ,$152.95 ,$93.90 ,,2,B00UHKMGV4,4.01387E+12,4013871411635
Birkenstock Madrid White Womens Sandals Size 38 EU,,,$89.50 ,$105.00 ,$89.50 ,,2,B000MSVU2M,4.01387E+12,4013871435532
"Birkenstock Men's Sandals, Watercolor Flower White Veg, 9.5",,,$148.95 ,$208.45 ,$148.95 ,,1,B000KBMLAG,4.01387E+12,4013871435679
